Date,^DJI,^GSPC,^IXIC,^NYA,^RUT,^VIX
5/24/1990,2855.550049,358.4100037,458.2999878,2066.850098,167.9400024,17.70000076
5/25/1990,2820.919922,354.5799866,453.7000122,2048.23999,167.2899933,17.31999969
5/29/1990,2870.48999,360.6499939,457.5,2078.47998,168.1999969,18.75
5/30/1990,2878.560059,360.8599854,458.7999878,2080.379883,168.6699982,17.44000053
5/31/1990,2876.659912,361.230011,459,2082.389893,168.9100037,17.37000084
6/1/1990,2900.969971,363.1600037,462.1000061,2093.919922,169.6999969,17.09000015
6/4/1990,2935.189941,367.3999939,465.6000061,2116.969971,170.6199951,18.38999939
6/5/1990,2925,366.6400146,464.6000061,2114.01001,170.2299957,18.96999931
6/6/1990,2911.649902,364.9599915,465,2105.76001,169.9100037,17.42000008
6/7/1990,2897.330078,363.1499939,464.1000061,2095.820068,169.8000031,16.87999916
6/8/1990,2862.379883,358.7099915,460.8999939,2072.97998,168.9299927,17.57999992
6/11/1990,2892.570068,361.6300049,462.7999878,2087.469971,169.0899963,16.34000015
6/12/1990,2933.419922,366.25,466.6000061,2111.149902,170.0299988,16.60000038
6/13/1990,2929.949951,364.8999939,468.8999939,2104.169922,170.8699951,17.37999916
6/14/1990,2928.219971,362.8999939,467.1000061,2093.389893,170.6300049,17.39999962
6/15/1990,2935.889893,362.9100037,467.6000061,2092.120117,170.8999939,15.89999962
6/18/1990,2882.179932,356.8800049,460.7999878,2061.139893,168.7200012,17.70999908
6/19/1990,2893.560059,358.4700012,460.5,2068.330078,168.3800049,15.22999954
6/20/1990,2895.300049,359.1000061,460.7999878,2070.76001,168.1199951,15.27000046
6/21/1990,2901.72998,360.4700012,461.2999878,2077.629883,168.4400024,14.72000027
6/22/1990,2857.179932,355.4299927,459.2999878,2053.840088,168.0099945,19.36000061
6/25/1990,2845.050049,352.3099976,455.6000061,2036.5,167.1300049,17.05999947
6/26/1990,2842.330078,352.0599976,455.3999939,2035.130005,166.8899994,16.29000092
6/27/1990,2862.129883,355.1400146,456.8999939,2049.929932,167.2400055,16
6/28/1990,2878.709961,357.6300049,460.3999939,2063.780029,168.4100037,16.18000031
6/29/1990,2880.689941,358.019989,462.2999878,2066.949951,169.1199951,15.5
7/2/1990,2899.26001,359.5400085,462,2074.780029,169,16.26000023
7/3/1990,2911.629883,360.1600037,461.7999878,2078.899902,168.9400024,16.11000061
7/5/1990,2879.209961,355.6799927,459.2000122,2056.060059,168.0200043,17.25
7/6/1990,2904.949951,358.4200134,460.5,2070.120117,168.1999969,16.40999985
7/9/1990,2914.110107,359.519989,461.7000122,2074.879883,168.1100006,16.65999985
7/10/1990,2890.840088,356.4899902,461,2059.340088,167.6900024,16.92000008
7/11/1990,2932.669922,361.230011,463.8999939,2084.189941,168.6600037,16.68000031
